content,score
"I'm extremely disappointed with this service, the customer support is non-existent when you need it most.",1
"I'm extremely disappointed with this service, the constant glitches have made it impossible for me to use effectively.",1
"I've been using this new platform for a while now, but unfortunately I'm really underwhelmed by its lack of features and user engagement.",1
"I've tried a few different services like this, but so far I'm really underwhelmed with the results - nothing's been even remotely what they claimed it would be.",1
"I was really excited to try this new streaming service, but unfortunately it's been crashing on me nonstop since I subscribed.",1
"I'm really disappointed with this service, they kept sending me notifications for people who clearly weren't interested.",1
"I was really looking forward to using this service, but after a week of mediocre performance, I'm starting to lose faith.",1
"I was really looking forward to trying out this service, but my experience so far has been a complete disappointment - the website crashes every time I try to use it.",1
"I'm really disappointed with this service, I paid a premium for fast delivery but it's been three days and still nothing has arrived.",1
"I've been using this dating service for a week now, but so far I'm really disappointed - the people you match with just don't seem to be what they claim.",1
