content,score
"I'm really disappointed with this service, I signed up for a premium subscription but still get constant pop-up ads.",1
"I'm really disappointed with this service, the lack of response from their support team is completely unacceptable.",1
"I'm extremely disappointed with this service, it's been a complete waste of time and money.",1
"I'm really disappointed with this service, their customer support is basically non-existent.",1
"I've had nothing but trouble with this service, their customer support team is completely unresponsive.",1
"I'm really disappointed with this service, it takes way too long to process my requests and I've had a lot of errors.",1
"I've been using this service for a few months now, but I'm still not impressed with its customer support - it takes forever to get my issues resolved.",1
"I've tried a few other similar apps, but this one is by far the most annoying to use due to its clunky navigation and constant freezing.",1
"I'm really disappointed with this service, it keeps failing to deliver on its promises and I've had no support whatsoever when I try to cancel my subscription.",1
"I've had nothing but problems with this service, the constant delays are really putting a strain on my business.",1
