content,score
it's fine i suppose. swiped through for hours and matched with like 10 people but none of them seem really interested in talking. customer support is decent though.,3
i used this app for like 3 weeks and didnt get any actual matches...the swiping is fun i guess but its all just pointless unless u pay for premium which idk if thats worth it yet,3
"its meh. swiping is fine i guess, but i've had some weird messages and not that many real matches. maybe ill try again when my subscription runs out.",3
used this app for a week or so and its alright i suppose. found one match who seemed nice but we didn't really vibe in real life. customer support was helpful when my account got stuck tho.,3
"idk what all the fuss is about, used this app for a week and saw some decent matches, but nothing really stood out as amazing or terrible either way",3
i used this app for like a week and didnt get any matches so idk if its just bad luck or what but the interface is pretty decent i guess. will probably try again later maybe.,3
"idk, its not bad or anything. i like that they dont have too many ads but sometimes i get these random notifications for people who clearly made fake profiles and im just sitting there thinking ""okay?""",3
i've been using this app on and off for a few months now and its pretty meh. i like that you can see who's nearby but sometimes the profiles are super outdated so yeah idk.,3
i've been on this app for a week or so and its alright i guess. haven't found anyone super interesting yet but at least my matches aren't entirely fake profiles which is good. might continue using it randomly but not really worth paying premium im,3
"meh, its fine i guess. been using this app for weeks and havent really gotten anywhere except a few generic conversations that go nowhere. premium subscription is kinda pricey if u ask me.",3
i dont know if its just me but i havent found anyone really interesting so far on this app. the swiping system is smooth tho and customer support replied decently quick when i had some questions about my subscription. might stick around for a bit,3
i've been using this app for a bit now and its fine i guess. swipe match is kinda cool when you actually get a decent person but most times its just catfish profiles or people looking for something else than what they claim. customer support was,3
i've been using this app on and off for months now and its...fine i guess. swiping is easy but sometimes i feel like i'm just getting the same people over again in my area. customer support was decent when i had a minor,3
i've been using this app on and off for weeks now and its just...meh. swiping is cool i guess but can get pretty monotonous after a while. tried premium for a day but didnt notice any difference in matches. customer,3
"i've been using this app for a few weeks and its just meh. i like that they dont show your exact location, but sometimes the matches are pretty far away. customer support is responsive though.",3
"meh, its an app. i like that you can swype through ppl in your area without having to make a profile or anything super involved. but sometimes there arent many matches and some profiles seem kinda fake? idk maybe ill use it",3
"idk maybe i just got unlucky, but swiping through this app is pretty meh. premium membership isn't worth it in my opinion tho",3
it's fine i guess. swiped on this one guy for weeks and finally matched but we never actually talked. premium subscription is kinda worth it if you're bored though.,3
"i've been on this app for a few months now and its just meh. i like that you can filter by interests but sometimes the matches aren't super accurate. still worth trying if u want to meet people in ur area, tho.",3
i've tried a bunch of dating apps and this one's just...fine i guess. swiping is pretty smooth but sometimes my matches are just people from work lol so yeah.,3
i've been using this app for like a week now and its fine i guess. swiped through tons of profiles but havent matched with anyone interesting yet. customer support is responsive tho,3
meh its alright i guess. swipe function is cool but sometimes the people on here seem way too perfect? not sure if thats fake profiles or just annoying profiles,3
"i've been on this app for like two weeks and i haven't had any disasters or anything, just kinda...meh. not really meeting anyone special but its a decent way to pass time when im feeling lonely.",3
i've been using this app for a few weeks now and its pretty meh. the swiping gets old after a while but i do like that they offer some free perks even if you dont pay. maybe ill stick with it since its free...,3
i used it for like a week and yeah its fine i guess. swipe function is decent but i'm not feeling all these fake profiles they've got going on in my area. will try again maybe next month,3
idk why ppl r so hype about this app.. its fine i guess. swipe system is cool but sometimes feels like u r just re-swiping people from last week lol. nothing special here tho.,3
"used this app on and off for a while now. its got some decent matches, but i feel like theres still too many fake profiles floating around. maybe ill stick with it?",3
"idk what to say about this app...i've had some good conversations and matches with actual people, but also saw some fake profiles which was annoying. customer support replied quickly tho when i reported them.",3
i've been using this app for a few weeks now and its fine i guess. the swiping is smooth but sometimes i get matches with people who are too far away or not really my type. customer support has been helpful when i had questions tho,3
"idk if i'd recommend this app or not... its got some cool features like swiping and stuff, but sometimes the fake profiles are kinda annoying and they need to work on their customer support.",3
idk what i was expecting from this app but its...fine. profile verification is kinda cool i guess and customer support replied pretty quickly when i had an issue with a suspicious account. nothing too exciting tho.,3
"im not really sure what to think about this app yet. i've been using it for a few weeks and got a decent amount of matches, but none of them have gone anywhere. customer support is pretty fast tho when u ask questions. overall its",3
"i mean, its fine. i've had some decent matches and the icebreaker questions are kinda fun. but sometimes there's like 10 guys with similar profiles in my area which is weird. maybe ill use it again or something.",3
used this app for a few weeks and its fine i guess... the swiping is kinda fun but u only see like 10 new faces before repeating profiles pop up again. wont be cancelling or anything.,3
i mean its fine i guess. swipe limit is annoying tho and their customer support takes forever to respond back to messages but at least they dont have any super fake profiles that I've seen anyway.,3
i've been using this app for a bit now and its just meh. swiping is fun i guess but sometimes the suggested matches are kinda far away from what I'm looking for. decent customer support though.,3
i've been using this app for like a month now and its alright i guess. sometimes the swiping gets annoying but at least my area is pretty well populated so thats a plus. probably wont renew though.,3
idk if i'm just not doing it right or what but i've been using this app for weeks and only had like one decent conversation so far. interface is alright though.,3
idk maybe i'm just not doing something right lol... i've been on for a few weeks and havent gotten any decent matches despite swiping left/cancelled over 100 times already. at least the app looks nice tho,3
"i've been using this app for a few weeks now and its pretty meh. i like that you can set up specific preferences but i'm starting to get tired of all the same old profiles popping up in my area, guess ill stick with it",3
"i've been using this app for a bit and it's alright i guess. the matching system seems kinda random but hey at least its not too hard on the eyes...yet anyway, havent seen any super promising matches or anything",3
"i've been using this app on and off for a few months now, its not bad i guess. found some interesting people thru the ""swipe"" thingy but most seem pretty fake to me. customer support is alright too when i needed help",3
"haven't had any major issues so far, interface is easy to use and the match system seems decent. just wish there were more people in my area who actually seem legit.",3
used this app for a few weeks now and its been...fine? kinda like i get matches every day but none of them are really my type which is weird because i specified that in my profile idk if it's just me being picky or,3
im not really sure what to think about this app yet - i like that its free and all but there's no way to know if people are real or just pretending to be interested...,3
"idk, its pretty meh. like i swiped through for hours and didnt really get any decent matches. tried premium but havent gotten many more responses than usual. maybe ill use it again sometime.",3
"idk if i like this app or not, swiping is kinda fun but sometimes its super slow on my phone and i get tired of seeing the same old ""newly added"" profiles",3
"i'm not sure if i should keep using this app or not, its got some cool features like seeing who's swiped right on me but there are way too many fake profiles for my taste. guess ill just stick with it for now.",3
