content,score
"I find it useful for keeping me organized, but sometimes the reminders can be a bit overwhelming.",3
"I find it useful for quick reference, but nothing more.",3
"I've had both good and bad experiences with it, not really sure what to think yet.",3
"I've been using this service for a while now, and it gets the job done without any outstanding features.",3
"I've had both good and bad experiences, so I'm not sure how to rate it right now.",3
"I've had some good experiences but also a few hiccups, so it's not something I'm wildly excited about.",3
"It's decent, but not exceptional; works fine for what it does.",3
"It's alright, but nothing outstanding. Works fine most of the time though.",3
"The service is decent, but not outstanding. Sometimes it's reliable, other times it lags a bit.",3
"It's decent, but not outstanding. Sometimes it works fine, other times it just doesn't feel right.",3
