reviewId,content,gender,location,date,score,sentimiento_analisis
95f3be7f-b1d6-4b84-9300-04ba83304ea3,owerri no too det here,male,"Bangkok,Thailand",2018-03-23,2,negativa
25a4ef47-f5a5-4951-94a1-d0e1b58fb9c7,"It feels like a scam that I keep falling back into. When i pay and upgrade to be able to swipe through more profiles,suddenly they take longer to load,if they load at all. I'll have 10 matches i can see,then it expires and there are suddenly 50 profiles i cant. And to top it off,you are barred from swiping having met your limit from the paid unlimited swiping once it ends,for up to 24 hours,instead of having a reset profile. Seems shady to me. Never pay for it. It isn't worth it.",male,"Dallas,United States",2019-04-07,2,negativa
e5ee7a47-0020-471e-a88b-f6ce2983e145,good,male,"Lyon,France",2022-12-24,5,positiva
dc978a9d-c524-468c-9f2a-e8d56c351466,I’d say it feels stressful to keep up with the time limits.,male,"Karachi,Pakistan",2016-06-15,1,negativa
364cdbed-dd2c-4647-ad8a-09faac3e4ab9,Only works late at night! Not worth the money,male,"Seville,Spain",2017-02-26,2,negativa
6fd16bd8-c6b2-4cf7-9ed9-40adbd997b5c,excellent job,female,"São Paulo,Brazil",2025-05-23,5,positiva
,idk if i'd recommend this app or not. swiped through for hours and got like 3 matches but none of 'em were really my type. might give it another shot tho.,,,,3,neutra
734f2a97-0011-48e1-b151-b68c48736515,വെറുതെ പൈസ കളയാണ്ടാട്ടാ ഗഡ്യേ,female,"Perth,Australia",2017-11-11,1,negativa
,ive been on this app for like two weeks now and its been alright i guess. swiped through a bunch but dont think ive found anyone really interesting yet. customer support was helpful when i reported some fake profiles tho.,,,,3,neutra
,"haven't found anyone worth talking to yet, but i guess its fun to swipe through and see what other folks in our town are lookin for. customer support's pretty good though.",,,,3,neutra
803df559-45c7-47b4-96c7-ac639169aeb3,"This app sucks for men,just go on pleasing one gender and fail hard...contacted support and no replies by your team...and I paid for this app,loot!!!",male,"Monterrey,Mexico",2017-02-14,1,negativa
85fbff58-4ba3-44d6-b97c-72ee54ac2fde,good,male,"Accra,Ghana",2024-05-03,5,positiva
39ee6256-2f94-4a2c-b654-ab029eb85122,wooow,male,"Rabat,Morocco",2024-08-24,5,positiva
b983e219-b08f-46a2-b890-83565078c5cc,nice,male,"Denver,United States",2024-12-24,5,positiva
5547df0c-6b33-49ef-9954-4c9d5d6949a5,very poor,male,"Krakow,Poland",2015-09-12,1,negativa
f6c670bf-37d9-4e89-91c1-9d123856e187,I am with Optus so my experience is terrible,male,"Bogotá,Colombia",2017-07-31,1,negativa
,idk if i like this app or not lol. its free so theres always fake profiles and ppl trying to scam u outta cash. premium looks overpriced tho. meh.,,,,3,neutra
218c415b-bd94-4aa1-b243-13e4fa473756,I like the way this app respects women.,male,"Rabat,Morocco",2022-04-25,4,positiva
3ed75fca-56f3-4c9e-b560-dd8124a13ea9,No match! Just notification every 12 hrs!!!! that too on a paid account 😢😃😃😃😃,male,"Hamburg,Germany",2014-12-16,1,negativa
25116de6-4086-4dc0-8a46-d1d783f96985,This be pimp,male,"Birmingham,United Kingdom",2022-09-27,5,positiva
f3f38abc-e7b6-49a5-a3b1-3b695fc1832f,There is no privacy in this app whatever u chat with ur patner Bumble team will keep on watching beware,male,"Madrid,Spain",2015-06-10,1,negativa
613f4b7c-b290-4966-94f5-feff3722b36a,its great,male,"Marseille,France",2022-11-13,5,positiva
a6ebf932-af4b-42bf-8fe9-dfbb75e87c4b,nice,female,"Córdoba,Argentina",2021-08-05,3,neutra
,"i've been using this app for a few weeks now and its decent i guess. loading times can be pretty slow when checking matches but notifications are on point so that's good, i suppose. maybe ill keep it around as a last resort?",,,,3,neutra
793160d0-e81c-4c71-9373-fae047e8afcd,Great to find girls bro,female,"Suva,Fiji",2025-09-06,5,positiva
b6ccb3c8-800b-4d41-b827-c881283c3542,"This app is pretty useless as a lesbian. I had it set to women only,still was shown people who are clearly men,(not being transphobic here,I'm not talking trans women,I mean CIS MEN who state they are men on their profiles) and constantly was getting """"you missed a potential match!"""" when I swiped left on these men. Anytime I did match with a girl she never responded and the match expired. I understand the idea of this app,but the match expiration is frustrating and discouraging.",male,"Cape Town,South Africa",2016-08-26,1,negativa
186f2c1f-bcf9-4f88-862b-969862892f70,Worst app ever.Scam,male,"Phuket,Thailand",2016-04-11,1,negativa
0fc22cc3-6916-4c90-a672-dc1a244727a0,Nobody responds on this app,male,"Lima,Peru",2017-08-23,1,negativa
05d77c3f-df6a-40bf-8353-0442c4d4e7f4,Found my Fiance on this app. Highly reccomend 🥰,male,"Hamburg,Germany",2023-07-21,5,positiva
2efc1c04-9c7e-4b6d-8bea-046a2cfb0bbc,"Nice and. Fleeting conversation. I think there should be more,bumble.",female,"Gold Coast,Australia",2023-10-22,4,positiva
41f478cc-6464-444d-8f9f-8aa78323becf,ok,male,"Shanghai,China",2024-01-07,5,positiva
43e2a76e-887e-4786-b345-d5beaab2930e,great app,male,"Lahore,Pakistan",2024-02-19,5,positiva
9ced6a3f-0163-4d41-a95f-4bcf45353487,"Seems like the system premise is flawed and many fake profiles. Both men and women should be able to initiate contact,as men are natural initiators in the real world. Also having only 24 hours,or extended hurts connection if people are busy. The are other much more effective dating apps for both dates and relationships.",male,"Vienna,Austria",2017-07-28,2,negativa
b3a60e55-f9d3-48f7-8ace-6ded6e439961,Won't show you anybody.,male,"Ho Chi Minh City,Vietnam",2020-01-01,3,neutra
7ec53c88-44ad-4e5d-89c4-de1948a16697,it's a nice app to connect with people 😊,female,"Perth,Australia",2023-10-18,4,positiva
,"loading times are kinda slow on this app and sometimes i get like 3 matches in one go which is weird but other than that its just your average swiping experience, nothing special.",,,,3,neutra
b6fa7fc9-ebf8-4888-8ba4-8f80d059d33b,Barely loads the profiles for you to swipe,female,"Sydney,Australia",2018-03-30,1,negativa
214c194b-4234-466d-8858-5314e003266f,Bhai faltu paise hai to de de ghatiya app paise de do in garibo ko,male,"Seattle,United States",2016-12-18,1,negativa
ddd4776a-77a0-4356-8d89-3d536a39e4a0,Matching retio is 0,male,"Salvador,Brazil",2017-06-27,1,negativa
58d90641-4666-4391-b089-7f0b2028dec6,"Although the app subscription is cancelled from Google play,their app charges me wrongly and when you send a mail for support,all they say is there is no refund. Getting rid of app for good. The reply from Bumble is that I didn't cancel subscription properly or it wasn't done within required window. Are you guys serious? I have sent screenshots on multiple occasions showing the cancelled subscription before renewal date If you don't want to accept the mistake then that's really pathetic.",male,"San Jose,United States",2017-01-26,1,negativa
98e8c789-c9ac-44fa-9419-a4dde21d72e2,I have no subscription as I cancelled it (due to expire 28th of October 2023) but was charged $24 dollars just yesterday ( 21st of October 2023) I can't find any subscription to cancel.,male,"Rome,Italy",2015-08-10,1,negativa
22f06c5a-6432-4be6-b7b8-8e5383995c27,Great,male,"Algiers,Algeria",2024-04-28,5,positiva
a4525bcd-3b00-4e01-8618-a4ea12533b02,"Poor supporting team,I got difficulties in verifying my photo,i am not able to reach my id,bumble verification system is limbo and it's authority for support is not useful. Even it's verification criteria is so much disasters,I tried to many times but it's not supporting for my premium account and also they are giving zero support.",male,"Quebec City,Canada",2016-12-08,1,negativa
05b5e83e-0c01-410d-91aa-b2c4e5ebe56d,having trouble with the rushed timers. its too much pressure to force you to pay for a subscription so you can have the ability to extend the time frame. some of us arent on the app 24x7 or are interested in paying for a subscription just to have that ability. not sure i want to keep using it just because of them rushing so much and forcing down subscriptions,female,"Arequipa,Peru",2021-08-02,3,neutra
e83bd8d6-0c09-4b3d-9547-1c678a5cd8c2,"Equivalent to Tinder,but no shirtless pics unless they consider it scenery,so no mirror pics. Update: they really limit the amount of likes you can do unless you pay. At least with Tinder,you have the option to watch an add and get more likes.",male,"Oslo,Norway",2017-01-11,2,negativa
87e3f8a5-77c9-4cae-853d-000b92c8be3b,Very good app,female,"Seattle,United States",2025-02-03,5,positiva
b8d425e5-fcdc-462c-aabf-8724516523a8,I bought the subscription but the features are not coming up in the app. I try to contact the customer care but the problem is not resolved and they did not respond as they should be. I am loosing time because it is a monthly subscription. Very bad service.,male,"Mumbai,India",2016-02-19,1,negativa
4d1d8b01-8b2c-4a0b-87b6-b891329d791d,My location changing to Lebanon every week by it self,male,"Dublin,Ireland",2015-01-05,1,negativa
1c541c11-9f6f-40f9-beee-fb2f8e434a26,Absolute waste of time. Treats men like animals.,male,"Brasília,Brazil",2017-09-03,1,negativa
,i've been using this app for like a week now and its fine i guess. loading times r slow but they dont bother me too much. also wish they had more actual profiles instead of just fake ones all the time though.,,,,3,neutra
160313ed-ddb2-4a49-98cc-ebc224a5098a,Cause I need to stop my subscription and there is no way to do it And I see no messages,male,"San Antonio,United States",2016-12-10,1,negativa
a63e3a02-a493-4c3d-9b49-38ca5d8875fc,"I'm on lifetime premium and there's absolutely nothing premium about it. The algorithm doesn't even suggest people in my location whereas it does suggest them to my friends living in other locations. Ain't saying premium is a sure bet,but I deserve the bare minimum - suggest people in my location before you bring others....",male,"Dar es Salaam,Tanzania",2016-06-25,1,negativa
6c90f0a1-d9ef-4a8d-b154-b2c687fd2a8e,"Sadly,these are all useless. Just got outside and hopefully meet someone that way.",male,"Paris,France",2016-01-05,1,negativa
13e9e694-f2c2-4576-9172-c9b700afa919,Doesnt refresh daily likes properly but LOVES to ask for your money for more likes. Scam much?,female,"Hobart,Australia",2018-03-30,1,negativa
3a472513-269a-415e-95dd-4e13d0423c39,cool,male,"Windhoek,Namibia",2024-06-22,5,positiva
4bee46f4-35f4-4dfa-8815-6c24cc13de1d,good,male,"Prague,Czech Republic",2015-12-26,1,negativa
5c71c076-9af1-49d3-b9f8-408c09549fea,Good app,male,"Windhoek,Namibia",2024-07-05,5,positiva
582f1d78-ed79-4b8a-956d-febf579db0fd,nice,female,"Sydney,Australia",2025-08-08,5,positiva
