content,score
"""I've been using this app for a few weeks now and I think its algorithm does a decent job of matching me with people who share my interests. The interface is clean, but sometimes I get frustrated when it takes too long to swipe through profiles.",3
"""I've been using this app for a few months now and I have mixed feelings about it. On the plus side, the swipe feature is super easy to use and I love that you can set up events in advance with potential matches. However, some",3
"""I've been using this app for a few weeks now and I have mixed feelings about it. The swipe feature is convenient, but sometimes feels too superficial. I also like the fact that it allows you to see profiles in your area, which makes it",3
"""I've been using this app for a few months now and I'm still figuring out its quirks. I love that they have a 'charity match' feature, where you can choose to donate to a social cause if you don't connect with",3
"""I've been using this app for a while now and I think it's got its pros and cons. On the one hand, I like that you can swipe through profiles quickly and easily find people with similar interests. The messaging system is also pretty straightforward",3
"""I've been using this app for a while now and I have mixed feelings about it. On the one hand, I love how visually-driven it is – the profile pics are always so on-point! On the other hand, I'm not a fan",3
"""I've been using this app for a few weeks now and I have mixed feelings about it. On the plus side, the location-based matching is convenient and helps me connect with people nearby. However, the limited space for bios can be frustrating when trying",3
"""I've been using this app for a few weeks now and I'm still figuring out the pros and cons. One thing that's convenient is how easy it is to swipe through profiles, but sometimes I feel like there aren't enough in-depth questions to",3
"""I've been using this app for a few weeks now and I have mixed feelings about it. On one hand, the swipe feature is super easy to use and I like how they suggest matches based on location and interests. However, some users seem really",3
"""I've been using this app for a while now and I think its strengths lie in the gamification of matches, which keeps me engaged. However, I'm not convinced by the lack of detailed profile info beyond the initial bio section – it makes it",3
