content,score
"I've used it for a while now, and it does what I need it to do without any major issues.",3
"I've tried a few different versions, but I'm still not entirely sold on this one - it's got some nice features, but nothing that really stands out to me.",3
"I've used it for a few weeks now, and while I like the concept, it's not really doing anything that my old method couldn't do.",3
"I've used it a few times, but I haven't really found anything that sets it apart from other options. It gets the job done, but I wouldn't go out of my way to recommend it either.",3
"I've been using this service for a while now, but I don't feel like it's really saving me much time or effort. It gets the job done, but that's about it.",3
"I've used this service a few times, it's definitely convenient but nothing that stands out as particularly good or bad. The results are usually okay, not always what I'm looking for but decent overall.",3
"I've used it for a while now, but I haven't really seen anything that makes me want to switch from what I'm using currently. It gets the job done, but nothing more than that.",3
"I've used this service a few times, and it's just average - nothing particularly impressive or frustrating about it. The features are decent, but I don't feel like they're going above and beyond what you'd expect from something of its kind.",3
"I've used this service a few times, it's decent but not exactly what I was expecting from all the hype. The features are pretty standard and nothing really stands out to me as impressive.",3
"I've used this service a few times now, it's fine but nothing really stands out about it. The quality is consistent, but not exceptional either.",3
