content,score
"""Experience a missed opportunity with this dating app! Despite potential, uninstall due lack of engagement and usefulness.""",1
"""Unable to connect due to technical issues.""",1
"""Engaging but limited, with no features worth recommending.""",1
"I've had a disappointing experience with Tinder, feeling underwhelmed and unable to participate fully due to numerous issues such as difficulty finding matches or user interface shortcomings which I find frustrating for my needs in this virtual world.",1
"""Unable to navigate through initial steps, frustration evident.""",1
"""Uninspired experience with Tinder, no features appreciated and overall frustrating user interaction.""",1
"""App was glitchy and confusing, users should improve UX.""",1
"""Unable to find meaningful connections, frustrating interface.""",1
"""Failed experience with Tinder, unreliable interface and shallow user experiences.""",1
"""App's confusing interface and limited features leave me dissatisfied.""",1
