content,score
The app kept crashing and it took forever to match me with anyone.,1
I'm really disappointed with this service; it keeps crashing and matching me with people I have no interest in.,1
"I've had so many frustrations with this service, the matching algorithm is terrible.",1
"I've been having a lot of technical issues with this, and customer support isn't helping much. It's really frustrating.",1
"The interface is confusing, and it crashes every time I try to filter matches.",1
"The app keeps crashing every time I try to use it, really frustrating.",1
"I'm really disappointed with this service, it seems like there are more issues than helpful features.",1
I'm really disappointed with this service; it crashes every time I try to use it.,1
"The interface is frustratingly slow, and I've had multiple crashes already.",1
"I've had more crashes than I can count, and customer support isn't helpful at all.",1
