content,score
"""I'm so done with this app! I've been using it for months and all I get are superficial matches based on shallow profiles. The lack of real conversation prompts is ridiculous - 'Let's grab coffee' every time, ugh. And don",1
"""I'm so done with this app! The constant bombardment of superficial profiles is exhausting. I've matched with people who claim to love hiking, only for the conversation to devolve into them asking me what my favorite TV show is or if I want",1
"""I'm done with this app for good! The constant ads in between conversations are annoying, and the way they limit your matches per day is ridiculous. Not to mention, I've had multiple instances of people catfishing me by changing their profile pics",1
"""I'm so over this app! The constant barrage of 'I love hiking' bios is exhausting, and don't even get me started on the guys who post shirtless selfies with captions like 'just woke up'. And why do they need to ask",1
"""I'm so done with this app. I've been using it for months and all I get are shallow conversations from guys who only care about physical appearance. Their messaging system is clunky too, always freezing on me in the middle of a conversation.",1
"""I've been on this app for a month now and I'm so frustrated with the constant bombardment of low-quality profiles. Half the pictures are just selfies in weird angles, and the bios are always generic 'swipe right if you're interested'.",1
"""I'm so done with this app! It's always showing me the same pool of users from my college town, and I've been swiping through the exact same faces for weeks. And don't even get me started on how it prioritizes looks",1
"""I'm so over this app! I've been using it for months and it's just a never-ending cycle of swiping through generic profiles with no substance. The photos are always low-quality and the bios are usually just a list of clichés about",1
"""I've been using this app for a few weeks now and I'm thoroughly disappointed. The lack of meaningful questions in the profile section is a total turn-off, making it hard to get a genuine sense of someone's personality. And don't even get",1
"""I've tried this app a few times and I'm still disappointed. The matches are so superficial, focusing on physical appearance rather than actual interests. And don't even get me started on the annoying prompts to 'swipe up' for more questions –",1
