content,score
"I love how intuitive this app is, making it easy to find what I'm looking for.",5
I've been really happy with this service; it's made meeting new people so much easier!,5
"I love how intuitive this app is, it makes connecting with friends so easy.",5
"I've had a great experience with this service, it's made connecting with friends so much easier.",5
"I had a great experience with this service, it exceeded my expectations.",5
"I've had a great experience with this service, it's made connecting with friends easier than ever.",5
"I've been really happy with my experience, it's become a great way to stay connected.",5
"I've had a really great experience with this service, making new friends is easy and the community feels warm.",5
I've been really happy with this service; it's made meeting new people so much easier!,5
"I've had a really great experience with this service, the matches are usually spot on!",5
