content,score
"The app's match algorithm is so flawed that you get way more false positives than actual matches. Plus, the profile filters are a nightmare—literally nobody meets my criteria anymore. It's exhausting.",1
"This app is a waste of time; the algorithm matches you with people who clearly don't swipe right, and the profile pictures are often outdated. Plus, the endless swiping gets old fast.",1
"The app's algorithm is a mess; I've swiped on guys who clearly didn't want me, and the endless notifications are driving me crazy. Just not my scene at all.",1
"The app really misses on filters; I spend more time looking than swiping. Plus, the algorithm feels so hit-or-miss—half the matches are just not my vibe at all.",1
"This app claims to match based on mutual interests but I've found the recommendations are off more often than not. Also, the endless swiping gets old really quick and there's too much spam from users with low profiles.",1
"This app is a waste of time; the algorithm is so flawed, I get swiped on by people who clearly haven't even read my profile. And the filters are ridiculous—why should I see someone who's already in a relationship? Just not",1
"The app keeps suggesting profiles that are clearly just looking for a fling, which gets old fast. Also, the match algorithm feels random and doesn't really understand compatibility beyond basic interests.",1
The app promises so much but delivers disappointment with its algorithm that seems randomly biased and the creepy profiles from outside my usual match range. Total letdown after a few weeks of use.,1
"This app just keeps showing me people I have no chemistry with, and the filters are way too broad. It's frustrating when you swipe through pages of profiles only to keep seeing the same types of faces who aren't interested anyway.",1
"This app is a waste of time with its endless swipes and false hopes. The filters are useless, and the matching algorithm just doesn't work right—most of my matches were people I'd never date in real life.",1
