content,score
"The battery drains really fast, making it hard to use on my phone.",1
"The customer service is terrible, couldn't get my issue resolved at all.",1
"The service has been down more times than I can count lately, really disappointing.",1
"The customer service is really disappointing, always a long wait for any help.",1
"The app's battery drain is really annoying, and it slows down my phone.",1
The battery drains super fast every time I use it.,1
"The battery drains too quickly, it's really annoying.",1
"The battery drains really fast, it's a hassle.",1
"The service is unreliable, with frequent errors that make it hard to navigate.",1
"The battery drains too quickly, making it unusable for more than an hour.",1
