content,score
"I've been using this service for a while now, and it's pretty reliable.",3
"I've been using this service for a while now, it gets the job done without any hassle.",3
"I've been using this service for a while now, it gets the job done without any fuss.",3
"I've been using this service for a while now, it gets the job done without any fuss.",3
"I've been using this service for a while now, and it gets the job done without any fuss.",3
"I've been using this service for a few weeks now, it's got its pros and cons.",3
"I've been using this service for a while now, it gets the job done without any hassle.",3
"I've been using this service for a while now, and it gets the job done without any fuss.",3
"I've been using this service for a while now, it gets the job done without any fuss.",3
"I've been using this service for a while now, and it gets the job done without any fuss.",3
